collector_name;collector_address;collector_number;collector_nik;collector_zip;collector_rt;collector_rw;collector_birth_place;collector_age;collector_marital_status;collector_gender;avg_bill_methods;debtor_volume_handled;bill_amount_collected;total_actual;total_cost;success_rate;time_to_collect
Brenda Campbell;"Gg. Tubagus Ismail No. 1
Pematangsiantar, BT 55756";+62 (20) 332 1559;6,21225E+15;55756;17;15;Bengkulu, 18-08-1994;29;Cerai hidup;laki-laki;sms or WA;6;46900000;58700000;37007;80;2
Nathan Welch;"Gang Jend. Sudirman No. 173
Batu, Papua 04360";+62 (77) 823 6306;5,78357E+15;4360;16;18;Kalimantan Selatan, 01-07-1975;48;Cerai hidup;laki-laki;sms or WA;1;500000;500000;13138;100;2
Tammy Jones;"Gg. Suryakencana No. 667
Padang, SU 72009";+62 (13) 184-4493;4,82335E+15;72009;11;9;Jawa Tengah, 01-07-1995;28;Menikah;laki-laki;sms or WA;2;7600000;17700000;10307;43;4
Laura Cox;"Gang M.H Thamrin No. 565
Kota Administrasi Jakarta Utara, RI 81812";+62-005-049-6970;2,43411E+15;81812;11;19;Gorontalo, 09-08-1980;43;Menikah;perempuan;sms or WA;8;38000000;48000000;49759;79;0
Justin Randolph;"Jalan R.E Martadinata No. 64
Samarinda, NT 28671";+62 (0379) 212-8528;9,64212E+15;28671;8;4;Sumatera Barat, 15-11-1969;54;Cerai mati;laki-laki;sms or WA;9;8800000;14600000;45848;60;2
Tiffany Rogers;"Jl. Antapani Lama No. 583
Kota Administrasi Jakarta Pusat, BT 47903";+62 (71) 419-7033;8,81083E+15;47903;9;14;Maluku, 23-08-1973;50;Menikah;laki-laki;sms or WA;16;13200000;47800000;112062;28;0
Christina Rodriguez DDS;"Jalan Ciwastra No. 63
Salatiga, Kalimantan Barat 35669";+62 (009) 598-8036;9,40237E+15;35669;20;17;Papua, 26-11-1981;42;Menikah;perempuan;sms or WA;15;37300000;110500000;140431;34;1
David Fischer;"Jl. Cikutra Timur No. 15
Bitung, Lampung 07381";+62 (0523) 859-5948;5,91809E+15;7381;18;7;Aceh, 17-09-1996;27;Menikah;laki-laki;sms or WA;15;70800000;103700000;148095;68;2
Linda Leon;"Jl. Tubagus Ismail No. 962
Tual, SR 14467";+62-090-126-6639;8,5942E+15;14467;10;14;Sulawesi Selatan, 28-08-1981;42;Belum menikah;perempuan;sms or WA;3;12800000;19300000;29610;66;2
Erin Peters;"Gang Jend. A. Yani No. 8
Palembang, Sulawesi Tenggara 70380";+62-84-828-5260;8,93051E+15;70380;17;16;Maluku Utara, 07-04-1974;49;Cerai mati;perempuan;sms or WA;6;44300000;58400000;57481;76;4
Elizabeth Thomas;"Jl. Rajawali Barat No. 8
Bandung, Riau 52003";+62-015-027-8921;7,40742E+15;52003;12;15;Jawa Timur, 31-01-1969;54;Cerai hidup;perempuan;sms or WA;5;2500000;3000000;36458;83;3
Jessica Kennedy;"Jalan Medokan Ayu No. 865
Tangerang Selatan, SS 02712";+62-55-209-3032;8,95157E+15;2712;13;16;Kalimantan Tengah, 17-02-1962;61;Belum menikah;perempuan;sms or WA;10;15200000;35600000;103409;43;3
Joshua Santos;"Jalan Jend. Sudirman No. 51
Balikpapan, YO 08489";+62 (034) 547 9842;3,09365E+15;8489;17;14;Sulawesi Tenggara, 27-08-1982;41;Cerai mati;perempuan;sms or WA;6;5700000;42800000;68865;13;1
Jeffrey White;"Jalan Pasteur No. 827
Jayapura, SS 04800";+62 (080) 785 6255;3,83184E+15;4800;9;19;Kalimantan Selatan, 19-03-1982;41;Cerai mati;perempuan;sms or WA;1;4700000;9600000;6223;49;3
Andrew Tyler;"Jalan Jakarta No. 826
Kota Administrasi Jakarta Selatan, KT 99951";+62 (67) 061-1977;1,23388E+15;99951;11;20;Lampung, 31-08-1960;63;Cerai mati;laki-laki;sms or WA;6;8300000;19100000;48834;43;3
Clarence Hughes;"Jl. Ahmad Dahlan No. 322
Kota Administrasi Jakarta Timur, SU 30704";+62-0857-351-2854;9,28733E+15;30704;18;15;Aceh, 27-02-1970;53;Cerai hidup;perempuan;sms or WA;6;19800000;29700000;68926;67;0
Brian Barnes;"Gang Rumah Sakit No. 50
Serang, Papua Barat 42337";+62 (215) 967 5093;1,27216E+15;42337;1;14;Bengkulu, 06-04-1964;59;Belum menikah;perempuan;sms or WA;9;4100000;56700000;57529;7;4
Brittany Horton;"Jalan Rajawali Timur No. 9
Cilegon, Kepulauan Riau 04539";+62 (960) 517 3178;7,07743E+15;4539;2;8;Maluku Utara, 10-11-1992;31;Belum menikah;perempuan;sms or WA;9;8400000;12700000;94221;66;2
Amy Jackson;"Gang Cihampelas No. 1
Kota Administrasi Jakarta Barat, Lampung 84059";+62 (0321) 375 6618;1,68283E+15;84059;20;4;Gorontalo, 23-03-2000;23;Cerai hidup;perempuan;sms or WA;4;13200000;14100000;45528;94;4
Jennifer Stanley;"Gg. Pasteur No. 1
Palangkaraya, Kalimantan Timur 77550";+62 (056) 491 4619;4,22009E+15;77550;12;18;Lampung, 13-04-1989;34;Cerai mati;perempuan;sms or WA;4;19200000;37900000;42149;51;3
Ashley Marshall;"Gg. KH Amin Jasuta No. 7
Binjai, Nusa Tenggara Barat 97220";+62 (823) 628 7402;4,22695E+15;97220;5;4;Kalimantan Barat, 06-08-1961;62;Cerai hidup;laki-laki;sms or WA;11;21000000;99400000;119414;21;3
Maria Jackson;"Gang Cihampelas No. 7
Surakarta, PB 74976";+62-281-025-6905;2,0785E+15;74976;8;16;Bali, 01-12-1968;55;Menikah;laki-laki;sms or WA;6;35900000;40000000;52010;90;3
Lauren Jensen;"Jl. K.H. Wahid Hasyim No. 9
Manado, Sulawesi Utara 79584";+62 (64) 692-5386;1,59368E+15;79584;16;20;Bengkulu, 27-01-1975;48;Belum menikah;perempuan;sms or WA;18;16900000;41700000;94783;41;3
Alexa Sanchez;"Jl. KH Amin Jasuta No. 94
Mojokerto, BA 72950";+62 (0612) 070-5439;9,9352E+15;72950;13;19;Kalimantan Tengah, 24-06-1993;30;Menikah;laki-laki;sms or WA;3;17400000;17800000;27398;98;4
Joseph Torres;"Jalan Suryakencana No. 4
Tegal, KT 55476";+62 (076) 887-2512;5,25297E+15;55476;20;11;Papua, 03-10-1998;25;Belum menikah;laki-laki;sms or WA;16;7400000;11900000;94436;62;2
Alexis Williams;"Gg. Soekarno Hatta No. 63
Kotamobagu, SS 98868";+62-45-951-7401;3,8235E+15;98868;10;10;Papua, 24-02-1984;39;Belum menikah;perempuan;sms or WA;13;12200000;73400000;111449;17;2
Taylor Long;"Jalan Sadang Serang No. 22
Sukabumi, JT 60270";+62 (18) 390-5821;8,67474E+15;60270;5;18;Kalimantan Barat, 14-09-1991;32;Cerai mati;laki-laki;sms or WA;1;1200000;1700000;13564;71;2
Tammy Nguyen MD;"Jl. Suniaraja No. 110
Yogyakarta, AC 80339";+62 (020) 994-6985;9,86034E+15;80339;8;9;Lampung, 17-07-1962;61;Cerai mati;perempuan;sms or WA;12;19300000;39400000;118825;49;0
Stephanie Williams;"Jl. Monginsidi No. 881
Gorontalo, MA 01657";+62 (401) 095-5823;5,92037E+15;1657;2;9;Sumatera Selatan, 30-07-1963;60;Cerai mati;perempuan;sms or WA;1;1600000;2200000;7704;73;1
David Hicks;"Jalan Raya Ujungberung No. 89
Payakumbuh, KT 37795";+62 (390) 518 5080;1,85701E+15;37795;10;10;Sumatera Utara, 28-11-1979;44;Cerai hidup;perempuan;sms or WA;17;27500000;48500000;131869;57;0
Paul Jimenez;"Gg. Raya Ujungberung No. 7
Gorontalo, Kepulauan Riau 54642";+62-0750-682-4016;2,78755E+15;54642;7;15;Riau, 17-02-2000;23;Cerai mati;laki-laki;sms or WA;6;46800000;58800000;59746;80;1
Jason Vega;"Jalan Sadang Serang No. 32
Metro, SS 28608";+62-060-702-5484;2,7003E+15;28608;16;20;Maluku Utara, 08-08-1989;34;Cerai hidup;laki-laki;sms or WA;1;1600000;2700000;19403;59;3
William Rivera III;"Jalan Erlangga No. 03
Pariaman, SB 20120";+62 (27) 325-1231;6,4264E+15;20120;4;3;Jambi, 19-09-1985;38;Menikah;perempuan;sms or WA;5;3100000;46100000;34887;7;2
Phillip Reed;"Jl. Tubagus Ismail No. 71
Makassar, Riau 56569";+62 (722) 479 3667;5,01841E+15;56569;9;11;Lampung, 18-08-1997;26;Cerai hidup;laki-laki;sms or WA;15;46100000;59500000;83904;77;0
Anne Lowery;"Gang Rungkut Industri No. 63
Tegal, ST 65163";+62-029-446-0962;8,46076E+15;65163;2;13;Sulawesi Barat, 19-10-1977;46;Cerai hidup;laki-laki;sms or WA;15;60000000;129500000;97819;46;3
Charles Arias;"Gang Dipenogoro No. 280
Banjarmasin, Aceh 45658";+62 (62) 650-7756;3,59334E+15;45658;5;15;Sulawesi Tenggara, 20-10-1969;54;Menikah;perempuan;sms or WA;4;15300000;35900000;42868;43;3
Tina Thompson;"Gang Erlangga No. 1
Tasikmalaya, SS 79188";+62 (269) 663-0894;4,44839E+15;79188;7;8;Jawa Timur, 30-09-1963;60;Cerai mati;laki-laki;sms or WA;14;46600000;53400000;136309;87;3
Jeanette Carter;"Gg. Gedebage Selatan No. 8
Pasuruan, KS 82175";+62 (571) 912-0081;3,96975E+15;82175;16;2;Jambi, 20-03-1977;46;Menikah;laki-laki;sms or WA;16;92400000;115300000;144025;80;1
Maxwell Martinez;"Gg. Raya Ujungberung No. 985
Kota Administrasi Jakarta Timur, Sumatera Selatan 16743";+62 (0592) 345 1093;3,83783E+15;16743;12;19;Jawa Barat, 19-07-1981;42;Belum menikah;laki-laki;sms or WA;8;27400000;45000000;59288;61;0
Michelle Carpenter;"Jalan Rajiman No. 197
Binjai, Jawa Timur 57837";+62 (07) 513-4033;8,21867E+15;57837;10;11;Kalimantan Selatan, 23-03-1999;24;Cerai hidup;laki-laki;sms or WA;2;7400000;18400000;10457;40;3
Belinda Hamilton;"Jl. Gegerkalong Hilir No. 27
Ternate, MU 87334";+62 (033) 439 0931;4,24016E+15;87334;9;15;Maluku Utara, 06-12-1994;29;Menikah;laki-laki;sms or WA;1;1100000;1900000;9392;58;0
Maurice David;"Gang Veteran No. 381
Prabumulih, BE 54867";+62 (0260) 799 4983;2,05258E+15;54867;3;8;Nusa Tenggara Barat, 01-11-1988;35;Cerai hidup;laki-laki;sms or WA;3;27200000;28100000;20405;97;4
Christopher Page;"Jalan Pacuan Kuda No. 4
Sungai Penuh, Sulawesi Tengah 39220";+62 (0391) 360-7259;3,3097E+15;39220;20;4;Kalimantan Tengah, 31-05-1986;37;Belum menikah;perempuan;sms or WA;14;5800000;12000000;138478;48;1
Steven Alvarado;"Gang Peta No. 24
Kota Administrasi Jakarta Barat, KS 53315";+62 (0834) 004-8369;7,91521E+15;53315;3;14;Maluku Utara, 15-06-1997;26;Cerai mati;laki-laki;sms or WA;11;16900000;23400000;103917;72;4
Sherry Ramirez;"Gg. Rajiman No. 276
Bukittinggi, LA 25919";+62 (046) 035 1349;6,4848E+15;25919;18;20;Kalimantan Tengah, 14-09-1998;25;Cerai hidup;laki-laki;sms or WA;17;26500000;162200000;95902;16;4
Dana Mitchell;"Jalan Merdeka No. 9
Tebingtinggi, Maluku 07622";+62 (523) 125 1521;6,25045E+15;7622;17;5;Sumatera Barat, 18-04-1971;52;Cerai hidup;perempuan;sms or WA;15;12800000;26200000;155927;49;3
Joe Good;"Jl. Ciumbuleuit No. 044
Cilegon, Sumatera Barat 70728";+62 (02) 914-3684;4,19889E+15;70728;7;13;Maluku, 15-03-1982;41;Belum menikah;laki-laki;sms or WA;4;11600000;35100000;20680;33;0
Stephen Lee;"Gg. Dr. Djunjunan No. 4
Tarakan, JK 18302";+62-090-511-3257;6,26698E+15;18302;9;17;Kalimantan Barat, 30-03-1968;55;Belum menikah;perempuan;sms or WA;18;48900000;88300000;152790;55;1
Rebecca Cole;"Gg. Dr. Djunjunan No. 024
Metro, KT 60930";+62 (025) 467-1656;5,93167E+15;60930;16;16;Gorontalo, 16-11-1971;52;Belum menikah;perempuan;sms or WA;13;10800000;121700000;117184;9;3
Amanda Cervantes;"Gang Antapani Lama No. 914
Batu, Sulawesi Barat 86190";+62 (69) 032 0014;6,27957E+15;86190;13;8;Sulawesi Tenggara, 16-04-1984;39;Cerai mati;laki-laki;sms or WA;10;7600000;14100000;73727;54;4
Anthony Sloan;"Gang Waringin No. 54
Bima, BA 53706";+62 (0439) 314 3155;2,18615E+15;53706;10;17;Sumatera Barat, 17-11-1962;61;Menikah;laki-laki;sms or WA;16;24700000;75900000;113981;33;2
Christine Boyd;"Jl. Sukabumi No. 7
Subulussalam, SS 27637";+62 (23) 382 7024;8,08372E+15;27637;5;13;Kalimantan Tengah, 29-12-1963;60;Menikah;laki-laki;sms or WA;9;68400000;73300000;97948;93;3
William Rodriguez;"Jalan KH Amin Jasuta No. 111
Bontang, Kalimantan Timur 31200";+62-68-282-3589;8,62529E+15;31200;9;9;Bali, 31-07-1991;32;Cerai mati;laki-laki;sms or WA;18;79500000;157100000;96770;51;0
Christopher Washington;"Gg. Rajawali Timur No. 4
Balikpapan, Sulawesi Tengah 79816";+62 (081) 252-4152;3,10377E+15;79816;19;2;DKI Jakarta, 13-12-1961;62;Cerai hidup;perempuan;sms or WA;11;4600000;5500000;86540;84;2
Samuel Douglas;"Gg. Rajawali Barat No. 899
Medan, Kalimantan Tengah 93318";+62 (149) 143-8014;3,86341E+15;93318;17;19;Maluku, 03-03-1964;59;Menikah;perempuan;sms or WA;18;13800000;44100000;94796;31;4
Elizabeth Fox;"Gg. Tebet Barat Dalam No. 7
Binjai, MU 72712";+62 (041) 553 2356;4,43001E+15;72712;17;7;Jawa Timur, 24-12-1998;25;Menikah;laki-laki;sms or WA;10;9000000;30400000;101431;30;4
Emma Thomas DDS;"Gg. Waringin No. 4
Palembang, JK 74306";+62-004-194-9527;6,19742E+15;74306;1;11;Kalimantan Selatan, 12-02-1992;31;Belum menikah;perempuan;sms or WA;9;56000000;86500000;54846;65;3
Jacqueline Henson;"Gg. Gedebage Selatan No. 27
Meulaboh, Papua Barat 80408";+62-224-455-6454;9,99907E+15;80408;1;1;Sumatera Utara, 19-10-1982;41;Belum menikah;laki-laki;sms or WA;9;7100000;13300000;59543;53;4
Jonathan Howard;"Jalan Kendalsari No. 581
Binjai, Banten 74036";+62 (98) 348-3535;6,45789E+15;74036;13;4;Jambi, 12-06-1983;40;Cerai hidup;laki-laki;sms or WA;10;12600000;33800000;83687;37;3
Sarah May;"Gg. K.H. Wahid Hasyim No. 2
Padang, KB 30176";+62 (0271) 663 6040;4,76862E+15;30176;7;9;Nusa Tenggara Barat, 14-03-1971;52;Cerai mati;laki-laki;sms or WA;7;21400000;31000000;54582;69;2
Jacqueline Rose;"Jalan Rajawali Timur No. 11
Metro, MA 90759";+62-04-048-9081;2,18267E+15;90759;17;4;Kepulauan Bangka Belitung, 30-01-1987;36;Cerai mati;perempuan;sms or WA;11;88700000;106800000;82684;83;1
Stacey Morrow;"Gg. Cikutra Barat No. 570
Tasikmalaya, Kalimantan Selatan 49438";+62 (062) 140 3301;5,92126E+15;49438;11;8;Bali, 28-08-1963;60;Menikah;laki-laki;sms or WA;8;19700000;34100000;43280;58;4
Louis Porter;"Gg. BKR No. 16
Bandar Lampung, Kalimantan Utara 73014";+62 (29) 908-2240;5,5648E+15;73014;17;14;Lampung, 15-06-1960;63;Menikah;laki-laki;sms or WA;9;31300000;61000000;80046;51;2
Kathleen Davis;"Jalan H.J Maemunah No. 8
Dumai, KT 74934";+62 (026) 863 2002;3,07103E+15;74934;10;9;Aceh, 29-05-1998;25;Menikah;laki-laki;sms or WA;11;29400000;43800000;81997;67;4
Margaret Henry;"Jl. Wonoayu No. 38
Palu, Kepulauan Bangka Belitung 87966";+62-102-832-7932;8,55482E+15;87966;19;10;Kepulauan Bangka Belitung, 30-07-1993;30;Belum menikah;perempuan;sms or WA;12;19200000;79100000;90460;24;4
Michele Navarro;"Jl. Ciumbuleuit No. 028
Dumai, MA 24232";+62 (354) 467 5625;2,79446E+15;24232;6;14;Papua, 15-02-1961;62;Menikah;laki-laki;sms or WA;12;10600000;95000000;73491;11;0
Joel Andrade;"Jalan Pasirkoja No. 6
Dumai, Papua 66746";+62 (056) 606-5002;4,79557E+15;66746;14;3;Nusa Tenggara Barat, 16-04-1970;53;Belum menikah;laki-laki;sms or WA;19;11400000;55300000;151720;21;1
Sarah Long;"Gg. Ahmad Yani No. 0
Cimahi, JB 01045";+62 (0600) 448-3464;2,22964E+15;1045;2;8;Sulawesi Selatan, 13-12-1975;48;Menikah;laki-laki;sms or WA;15;11800000;27300000;116284;43;0
Chad Wright;"Gg. Siliwangi No. 25
Batam, Gorontalo 68492";+62-25-356-6123;9,42174E+15;68492;2;17;Jambi, 19-06-1971;52;Menikah;perempuan;sms or WA;19;132800000;143300000;191835;93;3
Todd Mendez;"Gang Tebet Barat Dalam No. 598
Langsa, YO 80846";+62-023-776-2878;7,34303E+15;80846;17;1;Gorontalo, 01-06-1978;45;Cerai hidup;laki-laki;sms or WA;16;54500000;57600000;103361;95;1
Stephen Stokes;"Jalan Kapten Muslihat No. 006
Tual, Papua Barat 95415";+62 (307) 294-4505;4,50551E+15;95415;12;17;Jawa Timur, 11-04-1972;51;Belum menikah;perempuan;sms or WA;10;34600000;46400000;74519;75;4
Sydney Nelson;"Jalan Erlangga No. 1
Batam, Riau 20042";+62 (0566) 415 3340;2,59597E+15;20042;13;7;Jawa Barat, 07-11-1993;30;Cerai mati;laki-laki;sms or WA;19;56200000;177900000;127334;32;2
Andrew Hamilton MD;"Gang Surapati No. 436
Padang, RI 83359";+62 (092) 471 0735;5,40731E+15;83359;14;4;Bali, 17-12-1973;50;Menikah;perempuan;sms or WA;4;5500000;12300000;36015;45;3
Richard Charles;"Gg. Pasteur No. 47
Magelang, Sulawesi Utara 04739";+62 (34) 553 0536;8,76947E+15;4739;5;19;Sulawesi Selatan, 01-07-1964;59;Cerai hidup;laki-laki;sms or WA;19;50500000;130200000;179773;39;2
Charles Hall;"Jl. Merdeka No. 72
Sukabumi, Sulawesi Barat 66651";+62 (0482) 493-9846;2,59342E+15;66651;20;17;Sulawesi Utara, 10-02-1985;38;Cerai hidup;laki-laki;sms or WA;12;28400000;30900000;66176;92;0
Edwin Perry;"Gg. Cihampelas No. 019
Pekalongan, Nusa Tenggara Timur 49853";+62 (061) 509-3436;8,42864E+15;49853;9;12;Sulawesi Selatan, 26-09-1998;25;Belum menikah;laki-laki;sms or WA;19;101300000;166100000;112558;61;3
Jordan Reid;"Jl. Moch. Ramdan No. 76
Salatiga, Sumatera Barat 26269";+62 (0041) 444 3385;7,93013E+15;26269;16;1;Kalimantan Tengah, 11-02-1985;38;Menikah;perempuan;sms or WA;4;15100000;19900000;20913;76;2
Mary Duran;"Jl. Medokan Ayu No. 459
Sungai Penuh, Bali 32797";+62 (0826) 444 4121;4,85591E+15;32797;11;13;Kalimantan Timur, 12-10-1979;44;Menikah;laki-laki;sms or WA;16;25000000;25300000;95997;99;1
Ethan Fuller;"Gang Gegerkalong Hilir No. 2
Kupang, Riau 18581";+62-069-695-1840;9,74579E+15;18581;9;20;Banten, 28-03-1991;32;Menikah;perempuan;sms or WA;1;1400000;3500000;9187;40;0
Vickie Reid;"Jalan R.E Martadinata No. 660
Prabumulih, NT 14023";+62-017-696-6904;2,68022E+15;14023;6;10;Aceh, 12-06-1966;57;Cerai mati;perempuan;sms or WA;7;10000000;33100000;64132;30;2
Elizabeth Sullivan;"Jl. Dr. Djunjunan No. 959
Kendari, Jawa Timur 02141";+62 (0996) 408 8760;2,13594E+15;2141;4;13;Gorontalo, 31-03-1983;40;Cerai mati;laki-laki;sms or WA;7;6200000;6400000;59639;97;1
Dale Alexander;"Jalan Monginsidi No. 84
Kota Administrasi Jakarta Timur, JK 35777";+62 (38) 128-8847;1,55512E+15;35777;20;7;Sulawesi Selatan, 15-02-1968;55;Cerai hidup;perempuan;sms or WA;11;56600000;59600000;91550;95;1
Mrs. Bianca Houston;"Jalan Dipenogoro No. 833
Batam, NT 39873";+62 (0086) 392-0127;1,77696E+15;39873;3;15;Riau, 28-12-1988;35;Menikah;laki-laki;sms or WA;3;5900000;11900000;30599;50;1
Steven Brennan;"Jalan Kiaracondong No. 41
Bandar Lampung, Sumatera Utara 06913";+62 (0471) 311-2115;6,27156E+15;6913;14;6;Papua Barat, 16-04-1979;44;Menikah;laki-laki;sms or WA;15;9900000;58700000;159977;17;1
Sharon Hart;"Jalan Jend. A. Yani No. 6
Bitung, Jawa Barat 62253";+62-054-620-6477;3,98039E+15;62253;14;13;Kepulauan Riau, 07-02-1960;63;Belum menikah;perempuan;sms or WA;13;14800000;59200000;99031;25;0
Amanda Hamilton;"Jalan Tubagus Ismail No. 3
Pasuruan, KT 09957";+62-084-640-0899;2,56564E+15;9957;4;5;Sulawesi Selatan, 10-04-1962;61;Belum menikah;perempuan;sms or WA;6;5600000;9300000;64786;60;0
Sarah Williams;"Gang Joyoboyo No. 98
Kota Administrasi Jakarta Pusat, KU 68938";+62 (799) 767 9168;5,00711E+15;68938;8;13;Sulawesi Utara, 27-12-1960;63;Belum menikah;perempuan;sms or WA;2;9500000;10000000;14617;95;2
Isaac Dunn;"Gang Rawamangun No. 40
Banjarbaru, Jawa Barat 65676";+62 (576) 167 6993;9,67916E+15;65676;19;7;Sulawesi Tengah, 12-02-1968;55;Cerai hidup;perempuan;sms or WA;6;4400000;24200000;57542;18;1
Christina Dunn;"Jl. Surapati No. 4
Palopo, Jawa Barat 83828";+62 (0569) 858 1985;9,32008E+15;83828;1;14;Kalimantan Utara, 24-11-1997;26;Menikah;laki-laki;sms or WA;12;21100000;108600000;112989;19;4
Joshua Baxter;"Jl. Soekarno Hatta No. 138
Depok, AC 31036";+62 (022) 217-5432;4,64715E+15;31036;16;13;Maluku Utara, 06-05-1990;33;Menikah;perempuan;sms or WA;17;8600000;24200000;111292;36;4
Elizabeth Juarez;"Jalan Cikutra Timur No. 881
Magelang, SS 57995";+62 (48) 150-1440;8,48671E+15;57995;11;18;Papua Barat, 09-10-1963;60;Cerai mati;perempuan;sms or WA;10;25300000;49600000;101404;51;2
Danielle Hamilton;"Gang Suryakencana No. 10
Kendari, Kepulauan Bangka Belitung 56631";+62 (025) 605 4208;9,06815E+15;56631;9;4;Kalimantan Selatan, 19-11-1970;53;Cerai hidup;perempuan;sms or WA;9;7600000;8000000;90932;95;3
Stephen Hunter;"Jalan Moch. Ramdan No. 97
Tanjungpinang, Kepulauan Riau 39837";+62-054-312-3027;9,60385E+15;39837;18;19;Kalimantan Selatan, 18-07-1998;25;Cerai hidup;laki-laki;sms or WA;4;9900000;22700000;32007;44;0
Lucas Clements;"Jalan Otto Iskandardinata No. 95
Langsa, LA 51251";+62 (004) 666 1739;9,24627E+15;51251;1;19;Nusa Tenggara Barat, 30-01-1988;35;Cerai hidup;laki-laki;sms or WA;15;143000000;149700000;139294;96;1
Travis Wilkerson;"Gg. Rungkut Industri No. 8
Pematangsiantar, Kalimantan Timur 61910";+62 (057) 291-8540;8,90452E+15;61910;9;8;Sulawesi Utara, 27-02-1967;56;Cerai mati;laki-laki;sms or WA;2;4300000;5000000;15591;86;4
Sheena Hamilton;"Gang Cihampelas No. 551
Depok, Sulawesi Utara 10735";+62 (080) 422 3448;5,94745E+15;10735;11;8;Jawa Barat, 30-04-1999;24;Menikah;perempuan;sms or WA;4;7100000;13200000;21128;54;4
Angela Johnson;"Jalan Cikapayang No. 00
Pagaralam, DKI Jakarta 32827";+62 (602) 473 0938;8,39629E+15;32827;1;17;Kalimantan Timur, 08-12-1981;42;Menikah;laki-laki;sms or WA;19;66000000;141400000;104405;47;4
Melinda Beltran;"Jalan Rajiman No. 8
Palangkaraya, BT 15075";+62 (0200) 250 0181;5,98653E+15;15075;4;20;Sulawesi Selatan, 12-02-1998;25;Cerai mati;laki-laki;sms or WA;12;39300000;106500000;95289;37;4
Casey Schmidt;"Gg. Kebonjati No. 03
Binjai, SR 47284";+62-246-783-1651;4,26765E+15;47284;7;13;Kalimantan Timur, 23-10-1982;41;Menikah;laki-laki;sms or WA;1;4000000;5300000;8705;75;4
Victoria Blair;"Jalan Peta No. 7
Cirebon, Kepulauan Bangka Belitung 79219";+62-166-840-0907;1,67969E+15;79219;13;14;Banten, 02-10-1969;54;Cerai hidup;perempuan;sms or WA;9;21900000;89200000;51142;25;2
Richard Watkins;"Jalan K.H. Wahid Hasyim No. 9
Tanjungbalai, JT 33094";+62 (0265) 341 9842;1,77881E+15;33094;4;10;Maluku Utara, 05-10-1991;32;Cerai mati;perempuan;sms or WA;6;10800000;42700000;43867;25;2
Anthony Walter;"Gang Indragiri No. 69
Prabumulih, YO 76526";+62 (15) 548 2684;5,17879E+15;76526;16;7;DI Yogyakarta, 13-08-1972;51;Belum menikah;laki-laki;sms or WA;12;67300000;72100000;70848;93;1
Troy Dalton;"Jl. KH Amin Jasuta No. 21
Bengkulu, SG 48156";+62 (605) 643-3643;1,69218E+15;48156;1;20;Banten, 27-05-2000;23;Cerai mati;laki-laki;sms or WA;9;70100000;87600000;63056;80;0
Laura Oconnell;"Jalan Sentot Alibasa No. 2
Sungai Penuh, Maluku 93394";+62 (88) 932 6545;2,64866E+15;93394;11;2;Sulawesi Tengah, 09-11-1986;37;Belum menikah;laki-laki;sms or WA;2;1300000;1300000;11294;100;2
Tony Howard;"Jalan Ir. H. Djuanda No. 343
Tual, Kalimantan Tengah 43171";+62 (079) 800-1730;6,79673E+15;43171;13;8;Sulawesi Tenggara, 12-01-1964;59;Belum menikah;laki-laki;sms or WA;3;11000000;20100000;19185;55;3
Emily Ford;"Gang Rajawali Barat No. 3
Salatiga, KU 42327";+62-47-894-7530;5,92042E+15;42327;12;13;Lampung, 01-07-1997;26;Cerai hidup;perempuan;sms or WA;1;3700000;9100000;6266;41;3
Christine Zuniga;"Gang Bangka Raya No. 3
Bau-Bau, Jawa Tengah 11802";+62 (034) 192 8358;9,63174E+15;11802;9;5;Jambi, 25-01-1985;38;Belum menikah;laki-laki;sms or WA;8;35300000;57100000;72748;62;1
Brenda Powers;"Jl. Setiabudhi No. 841
Mataram, MA 65640";+62 (0029) 589-0947;2,54269E+15;65640;12;6;Kalimantan Timur, 13-11-1986;37;Cerai mati;perempuan;sms or WA;12;14300000;25700000;117308;56;4
Lindsay Shannon;"Gang H.J Maemunah No. 45
Semarang, PA 97157";+62 (136) 038-7745;9,8675E+15;97157;7;20;Jambi, 18-01-1998;25;Menikah;perempuan;sms or WA;5;33300000;33800000;25186;99;0
Austin Harper;"Jalan Gegerkalong Hilir No. 59
Sawahlunto, SG 62247";+62 (068) 984 0889;2,98394E+15;62247;17;14;Jawa Tengah, 07-03-1977;46;Cerai hidup;laki-laki;sms or WA;11;12400000;23000000;101283;54;1
Danielle Torres DDS;"Gang Indragiri No. 141
Bukittinggi, Sulawesi Barat 19234";+62 (214) 318-7783;7,56773E+15;19234;12;14;Gorontalo, 21-03-1981;42;Cerai mati;perempuan;sms or WA;17;15800000;42500000;126469;37;3
Virginia Drake;"Jalan Indragiri No. 93
Palangkaraya, Kalimantan Timur 75574";+62-73-381-8839;1,77895E+15;75574;14;1;DKI Jakarta, 17-04-1984;39;Cerai mati;laki-laki;sms or WA;12;17300000;70400000;84979;25;3
Edward Walters;"Gg. Yos Sudarso No. 14
Banda Aceh, Bengkulu 33278";+62-60-624-6133;4,56619E+15;33278;14;19;Kalimantan Timur, 11-05-1973;50;Menikah;laki-laki;sms or WA;13;53200000;97600000;113604;55;4
