collector_name,collector_address,collector_number,collector_nik,collector_zip,collector_rt,collector_rw,collector_birth_place,collector_age,collector_marital_status,collector_gender,collector_location,collector_vehicle,collector_id,collector_location_coord,workload_score
Michael Smith,"Gang Cikutra Barat No. 95
Bontang, Jawa Tengah 12389",+62 (31) 792 7563,1786390100873635,12389,19,16,"Bengkulu, 03-12-1975",48,Menikah,laki-laki,Samarinda,Punya,C0103,-0.5017804:117.1393089,328.3827124066884
Joshua Lopez,"Gg. Dipatiukur No. 42
Bukittinggi, JK 14036",+62 (112) 856 8848,7830982971699318,14036,10,8,"Lampung, 05-07-1984",39,Belum menikah,perempuan,Bandung,Punya,C0104,-6.9215529:107.6110212,534.7765978965035
Katherine Garcia,"Jalan Laswi No. 229
Padang Sidempuan, KI 88066",+62 (46) 086-4828,5963334566772523,88066,10,5,"Sumatera Utara, 15-10-1983",40,Cerai hidup,laki-laki,Yogyakarta,Punya,C0105,-7.9778383999999996:110.36722565020224,964.9980911532184
Heather Guerra,"Gang Jakarta No. 5
Tomohon, Nusa Tenggara Timur 54501",+62 (099) 190-8555,6065914690494705,54501,19,15,"Sumatera Selatan, 05-06-1968",55,Cerai mati,laki-laki,Batam,Punya,C0106,1.1030815:104.0383696,447.8557564168586
Nicholas Brooks,"Jl. PHH. Mustofa No. 348
Pariaman, YO 31724",+62-059-019-2470,4838850815445206,31724,20,16,"Jambi, 30-12-1967",56,Menikah,perempuan,Surabaya,Punya,C0107,-7.2459717:112.7378266,297.2348441933573
Robert Gamble,"Gg. H.J Maemunah No. 2
Pasuruan, Maluku 94815",+62-46-868-4923,6817260630741459,94815,13,19,"Sulawesi Tengah, 10-12-1961",62,Cerai hidup,perempuan,Surabaya,Punya,C0108,-7.2459717:112.7378266,608.1677871000138
William Barr,"Jl. S. Parman No. 9
Pontianak, Lampung 98346",+62-0920-844-3341,1476392991124086,98346,17,9,"DKI Jakarta, 30-04-1985",38,Cerai hidup,laki-laki,Depok,Tidak Punya,C0109,-6.40719:106.8158371,349.07113826530986
Kyle Brown,"Gg. Pelajar Pejuang No. 5
Banjarbaru, SN 95727",+62 (074) 287-2262,9277005377565885,95727,19,4,"Kalimantan Utara, 21-02-1983",40,Belum menikah,perempuan,Makassar,Punya,C0110,-5.1342962:119.4124282,567.116649721982
Lindsay Cook,"Jalan Erlangga No. 568
Probolinggo, KB 02377",+62 (0645) 327-8727,7886172937185505,2377,7,5,"Papua Barat, 03-09-1994",29,Menikah,perempuan,Mataram,Tidak Punya,C0111,-8.5837726:116.10685,321.685524138913
Ronald Cannon,"Gg. Sukajadi No. 08
Cilegon, Kepulauan Riau 93339",+62-0707-937-4297,2443329994660600,93339,14,10,"Kalimantan Barat, 05-09-1975",48,Menikah,laki-laki,Manado,Tidak Punya,C0112,1.4900578:124.8408708,489.27117531580734
Brenda Campbell,"Gg. Tubagus Ismail No. 1
Pematangsiantar, BT 55756",+62 (20) 332 1559,6212247672455112,55756,17,15,"Bengkulu, 18-08-1994",29,Cerai hidup,laki-laki,Tangerang,Tidak Punya,C0113,-6.1761924:106.6382161,392.9933960071357
Nathan Welch,"Gang Jend. Sudirman No. 173
Batu, Papua 04360",+62 (77) 823 6306,5783571831440278,4360,16,18,"Kalimantan Selatan, 01-07-1975",48,Cerai hidup,laki-laki,Mataram,Punya,C0114,-8.5837726:116.10685,353.976981721411
Tammy Jones,"Gg. Suryakencana No. 667
Padang, SU 72009",+62 (13) 184-4493,4823350384191683,72009,11,9,"Jawa Tengah, 01-07-1995",28,Menikah,laki-laki,Samarinda,Punya,C0115,-0.5017804:117.1393089,334.9020368477504
Laura Cox,"Gang M.H Thamrin No. 565
Kota Administrasi Jakarta Utara, RI 81812",+62-005-049-6970,2434105630613765,81812,11,19,"Gorontalo, 09-08-1980",43,Menikah,perempuan,Palembang,Punya,C0116,-2.9888243:104.7568507,522.9955967727874
Justin Randolph,"Jalan R.E Martadinata No. 64
Samarinda, NT 28671",+62 (0379) 212-8528,9642118235824814,28671,8,4,"Sumatera Barat, 15-11-1969",54,Cerai mati,laki-laki,Surabaya,Punya,C0117,-7.2459717:112.7378266,466.06825512772775
Tiffany Rogers,"Jl. Antapani Lama No. 583
Kota Administrasi Jakarta Pusat, BT 47903",+62 (71) 419-7033,8810830664344000,47903,9,14,"Maluku, 23-08-1973",50,Menikah,laki-laki,Tangerang,Punya,C0118,-6.1761924:106.6382161,541.8998442169104
Christina Rodriguez DDS,"Jalan Ciwastra No. 63
Salatiga, Kalimantan Barat 35669",+62 (009) 598-8036,9402370424300513,35669,20,17,"Papua, 26-11-1981",42,Menikah,perempuan,Medan,Tidak Punya,C0119,3.5896654:98.6738261,510.2825894294365
David Fischer,"Jl. Cikutra Timur No. 15
Bitung, Lampung 07381",+62 (0523) 859-5948,5918090550533673,7381,18,7,"Aceh, 17-09-1996",27,Menikah,laki-laki,Bogor,Punya,C0120,-6.5962986:106.7972421,462.9879286151845
Linda Leon,"Jl. Tubagus Ismail No. 962
Tual, SR 14467",+62-090-126-6639,8594201147287348,14467,10,14,"Sulawesi Selatan, 28-08-1981",42,Belum menikah,perempuan,Surabaya,Punya,C0121,-7.2459717:112.7378266,341.72272807659465
Erin Peters,"Gang Jend. A. Yani No. 8
Palembang, Sulawesi Tenggara 70380",+62-84-828-5260,8930506551710004,70380,17,16,"Maluku Utara, 07-04-1974",49,Cerai mati,perempuan,Palembang,Punya,C0122,-2.9888243:104.7568507,208.43220495030985
Elizabeth Thomas,"Jl. Rajawali Barat No. 8
Bandung, Riau 52003",+62-015-027-8921,7407419521784401,52003,12,15,"Jawa Timur, 31-01-1969",54,Cerai hidup,perempuan,Tangerang,Punya,C0123,-6.1761924:106.6382161,518.7710263202316
Jessica Kennedy,"Jalan Medokan Ayu No. 865
Tangerang Selatan, SS 02712",+62-55-209-3032,8951571647347113,2712,13,16,"Kalimantan Tengah, 17-02-1962",61,Belum menikah,perempuan,Jakarta,Tidak Punya,C0124,-6.175247:106.8270488,622.609132512298
Joshua Santos,"Jalan Jend. Sudirman No. 51
Balikpapan, YO 08489",+62 (034) 547 9842,3093651565126281,8489,17,14,"Sulawesi Tenggara, 27-08-1982",41,Cerai mati,perempuan,Jakarta,Tidak Punya,C0125,-6.175247:106.8270488,595.6103574465378
Jeffrey White,"Jalan Pasteur No. 827
Jayapura, SS 04800",+62 (080) 785 6255,3831844550100518,4800,9,19,"Kalimantan Selatan, 19-03-1982",41,Cerai mati,perempuan,Palembang,Punya,C0126,-2.9888243:104.7568507,641.1243137776328
Andrew Tyler,"Jalan Jakarta No. 826
Kota Administrasi Jakarta Selatan, KT 99951",+62 (67) 061-1977,1233875419766131,99951,11,20,"Lampung, 31-08-1960",63,Cerai mati,laki-laki,Mataram,Punya,C0127,-8.5837726:116.10685,296.0818125771766
Clarence Hughes,"Jl. Ahmad Dahlan No. 322
Kota Administrasi Jakarta Timur, SU 30704",+62-0857-351-2854,9287330340779671,30704,18,15,"Aceh, 27-02-1970",53,Cerai hidup,perempuan,Samarinda,Punya,C0128,-0.5017804:117.1393089,586.0970439388475
Brian Barnes,"Gang Rumah Sakit No. 50
Serang, Papua Barat 42337",+62 (215) 967 5093,1272162879103143,42337,1,14,"Bengkulu, 06-04-1964",59,Belum menikah,perempuan,Medan,Punya,C0129,3.5896654:98.6738261,743.1739620102744
Brittany Horton,"Jalan Rajawali Timur No. 9
Cilegon, Kepulauan Riau 04539",+62 (960) 517 3178,7077433209298717,4539,2,8,"Maluku Utara, 10-11-1992",31,Belum menikah,perempuan,Bogor,Punya,C0130,-6.5962986:106.7972421,633.3867687718011
Amy Jackson,"Gang Cihampelas No. 1
Kota Administrasi Jakarta Barat, Lampung 84059",+62 (0321) 375 6618,1682828151455844,84059,20,4,"Gorontalo, 23-03-2000",23,Cerai hidup,perempuan,Makassar,Punya,C0131,-5.1342962:119.4124282,439.3453118728066
Jennifer Stanley,"Gg. Pasteur No. 1
Palangkaraya, Kalimantan Timur 77550",+62 (056) 491 4619,4220089644724951,77550,12,18,"Lampung, 13-04-1989",34,Cerai mati,perempuan,Samarinda,Tidak Punya,C0132,-0.5017804:117.1393089,198.72355050596525
Ashley Marshall,"Gg. KH Amin Jasuta No. 7
Binjai, Nusa Tenggara Barat 97220",+62 (823) 628 7402,4226951782369134,97220,5,4,"Kalimantan Barat, 06-08-1961",62,Cerai hidup,laki-laki,Bekasi,Punya,C0133,-6.2349858:106.9945444,582.386908521963
Maria Jackson,"Gang Cihampelas No. 7
Surakarta, PB 74976",+62-281-025-6905,2078497457592788,74976,8,16,"Bali, 01-12-1968",55,Menikah,laki-laki,Semarang,Punya,C0134,-6.9903988:110.4229104,630.2198253249226
Lauren Jensen,"Jl. K.H. Wahid Hasyim No. 9
Manado, Sulawesi Utara 79584",+62 (64) 692-5386,1593682300072349,79584,16,20,"Bengkulu, 27-01-1975",48,Belum menikah,perempuan,Palembang,Punya,C0135,-2.9888243:104.7568507,334.22489723269246
Alexa Sanchez,"Jl. KH Amin Jasuta No. 94
Mojokerto, BA 72950",+62 (0612) 070-5439,9935197148126287,72950,13,19,"Kalimantan Tengah, 24-06-1993",30,Menikah,laki-laki,Samarinda,Punya,C0136,-0.5017804:117.1393089,548.4079099018709
Joseph Torres,"Jalan Suryakencana No. 4
Tegal, KT 55476",+62 (076) 887-2512,5252974636182513,55476,20,11,"Papua, 03-10-1998",25,Belum menikah,laki-laki,Makassar,Punya,C0137,-5.1342962:119.4124282,497.44021029092255
Alexis Williams,"Gg. Soekarno Hatta No. 63
Kotamobagu, SS 98868",+62-45-951-7401,3823501746262114,98868,10,10,"Papua, 24-02-1984",39,Belum menikah,perempuan,Mataram,Punya,C0138,-8.5837726:116.10685,485.4434398429876
Taylor Long,"Jalan Sadang Serang No. 22
Sukabumi, JT 60270",+62 (18) 390-5821,8674743240924606,60270,5,18,"Kalimantan Barat, 14-09-1991",32,Cerai mati,laki-laki,Balikpapan,Punya,C0139,-1.2398711:116.8593379,811.3459749479371
Tammy Nguyen MD,"Jl. Suniaraja No. 110
Yogyakarta, AC 80339",+62 (020) 994-6985,9860343218402912,80339,8,9,"Lampung, 17-07-1962",61,Cerai mati,perempuan,Pekanbaru,Punya,C0140,0.5262455:101.4515727,371.5456551196403
Stephanie Williams,"Jl. Monginsidi No. 881
Gorontalo, MA 01657",+62 (401) 095-5823,5920371789461926,1657,2,9,"Sumatera Selatan, 30-07-1963",60,Cerai mati,perempuan,Palembang,Punya,C0141,-2.9888243:104.7568507,355.4422205191222
David Hicks,"Jalan Raya Ujungberung No. 89
Payakumbuh, KT 37795",+62 (390) 518 5080,1857014381109081,37795,10,10,"Sumatera Utara, 28-11-1979",44,Cerai hidup,perempuan,Batam,Punya,C0142,1.1030815:104.0383696,402.9327367914666
Paul Jimenez,"Gg. Raya Ujungberung No. 7
Gorontalo, Kepulauan Riau 54642",+62-0750-682-4016,2787554908543935,54642,7,15,"Riau, 17-02-2000",23,Cerai mati,laki-laki,Bogor,Punya,C0143,-6.5962986:106.7972421,245.25983579840977
Jason Vega,"Jalan Sadang Serang No. 32
Metro, SS 28608",+62-060-702-5484,2700301126696294,28608,16,20,"Maluku Utara, 08-08-1989",34,Cerai hidup,laki-laki,Bandung,Punya,C0144,-6.9215529:107.6110212,417.5561137685436
William Rivera III,"Jalan Erlangga No. 03
Pariaman, SB 20120",+62 (27) 325-1231,6426404327008240,20120,4,3,"Jambi, 19-09-1985",38,Menikah,perempuan,Balikpapan,Punya,C0145,-1.2398711:116.8593379,255.3256638542516
Phillip Reed,"Jl. Tubagus Ismail No. 71
Makassar, Riau 56569",+62 (722) 479 3667,5018405929075663,56569,9,11,"Lampung, 18-08-1997",26,Cerai hidup,laki-laki,Batam,Punya,C0146,1.1030815:104.0383696,232.5872861065145
Anne Lowery,"Gang Rungkut Industri No. 63
Tegal, ST 65163",+62-029-446-0962,8460756053846641,65163,2,13,"Sulawesi Barat, 19-10-1977",46,Cerai hidup,laki-laki,Bogor,Tidak Punya,C0147,-6.5962986:106.7972421,439.7364460086974
Charles Arias,"Gang Dipenogoro No. 280
Banjarmasin, Aceh 45658",+62 (62) 650-7756,3593336899122331,45658,5,15,"Sulawesi Tenggara, 20-10-1969",54,Menikah,perempuan,Pontianak,Punya,C0148,-0.0226903:109.3447488,525.7373268304218
Tina Thompson,"Gang Erlangga No. 1
Tasikmalaya, SS 79188",+62 (269) 663-0894,4448393344941295,79188,7,8,"Jawa Timur, 30-09-1963",60,Cerai mati,laki-laki,Depok,Punya,C0149,-6.40719:106.8158371,368.2273861129652
Jeanette Carter,"Gg. Gedebage Selatan No. 8
Pasuruan, KS 82175",+62 (571) 912-0081,3969754875695563,82175,16,2,"Jambi, 20-03-1977",46,Menikah,laki-laki,Bandung,Punya,C0150,-6.9215529:107.6110212,513.9171305132331
Maxwell Martinez,"Gg. Raya Ujungberung No. 985
Kota Administrasi Jakarta Timur, Sumatera Selatan 16743",+62 (0592) 345 1093,3837830693883620,16743,12,19,"Jawa Barat, 19-07-1981",42,Belum menikah,laki-laki,Mataram,Punya,C0151,-8.5837726:116.10685,572.9684407042805
Michelle Carpenter,"Jalan Rajiman No. 197
Binjai, Jawa Timur 57837",+62 (07) 513-4033,8218671021726788,57837,10,11,"Kalimantan Selatan, 23-03-1999",24,Cerai hidup,laki-laki,Semarang,Tidak Punya,C0152,-6.9903988:110.4229104,488.81796268434846
Belinda Hamilton,"Jl. Gegerkalong Hilir No. 27
Ternate, MU 87334",+62 (033) 439 0931,4240164059333498,87334,9,15,"Maluku Utara, 06-12-1994",29,Menikah,laki-laki,Samarinda,Punya,C0153,-0.5017804:117.1393089,498.2660249493492
Maurice David,"Gang Veteran No. 381
Prabumulih, BE 54867",+62 (0260) 799 4983,2052582548011888,54867,3,8,"Nusa Tenggara Barat, 01-11-1988",35,Cerai hidup,laki-laki,Bogor,Punya,C0154,-6.5962986:106.7972421,455.50380009785295
Christopher Page,"Jalan Pacuan Kuda No. 4
Sungai Penuh, Sulawesi Tengah 39220",+62 (0391) 360-7259,3309697688801420,39220,20,4,"Kalimantan Tengah, 31-05-1986",37,Belum menikah,perempuan,Balikpapan,Punya,C0155,-1.2398711:116.8593379,461.149653895176
Steven Alvarado,"Gang Peta No. 24
Kota Administrasi Jakarta Barat, KS 53315",+62 (0834) 004-8369,7915205615819895,53315,3,14,"Maluku Utara, 15-06-1997",26,Cerai mati,laki-laki,Palembang,Punya,C0156,-2.9888243:104.7568507,134.36023949281662
Sherry Ramirez,"Gg. Rajiman No. 276
Bukittinggi, LA 25919",+62 (046) 035 1349,6484801758711130,25919,18,20,"Kalimantan Tengah, 14-09-1998",25,Cerai hidup,laki-laki,Surabaya,Punya,C0157,-7.2459717:112.7378266,460.2562279592676
Dana Mitchell,"Jalan Merdeka No. 9
Tebingtinggi, Maluku 07622",+62 (523) 125 1521,6250450197878363,7622,17,5,"Sumatera Barat, 18-04-1971",52,Cerai hidup,perempuan,Surabaya,Tidak Punya,C0158,-7.2459717:112.7378266,489.8368399630126
Joe Good,"Jl. Ciumbuleuit No. 044
Cilegon, Sumatera Barat 70728",+62 (02) 914-3684,4198885864035984,70728,7,13,"Maluku, 15-03-1982",41,Belum menikah,laki-laki,Semarang,Punya,C0159,-6.9903988:110.4229104,609.5278771859303
Stephen Lee,"Gg. Dr. Djunjunan No. 4
Tarakan, JK 18302",+62-090-511-3257,6266983748483711,18302,9,17,"Kalimantan Barat, 30-03-1968",55,Belum menikah,perempuan,Makassar,Punya,C0160,-5.1342962:119.4124282,525.9440863360069
Rebecca Cole,"Gg. Dr. Djunjunan No. 024
Metro, KT 60930",+62 (025) 467-1656,5931672242024229,60930,16,16,"Gorontalo, 16-11-1971",52,Belum menikah,perempuan,Palembang,Tidak Punya,C0161,-2.9888243:104.7568507,375.6724080793501
Amanda Cervantes,"Gang Antapani Lama No. 914
Batu, Sulawesi Barat 86190",+62 (69) 032 0014,6279572917399888,86190,13,8,"Sulawesi Tenggara, 16-04-1984",39,Cerai mati,laki-laki,Palembang,Punya,C0162,-2.9888243:104.7568507,440.8063348655123
Anthony Sloan,"Gang Waringin No. 54
Bima, BA 53706",+62 (0439) 314 3155,2186148392738495,53706,10,17,"Sumatera Barat, 17-11-1962",61,Menikah,laki-laki,Bandung,Punya,C0163,-6.9215529:107.6110212,296.40337619913043
Christine Boyd,"Jl. Sukabumi No. 7
Subulussalam, SS 27637",+62 (23) 382 7024,8083723668523109,27637,5,13,"Kalimantan Tengah, 29-12-1963",60,Menikah,laki-laki,Samarinda,Punya,C0164,-0.5017804:117.1393089,593.0420875050768
William Rodriguez,"Jalan KH Amin Jasuta No. 111
Bontang, Kalimantan Timur 31200",+62-68-282-3589,8625294309269653,31200,9,9,"Bali, 31-07-1991",32,Cerai mati,laki-laki,Palembang,Tidak Punya,C0165,-2.9888243:104.7568507,409.21767534522223
Christopher Washington,"Gg. Rajawali Timur No. 4
Balikpapan, Sulawesi Tengah 79816",+62 (081) 252-4152,3103770477604125,79816,19,2,"DKI Jakarta, 13-12-1961",62,Cerai hidup,perempuan,Pontianak,Punya,C0166,-0.0226903:109.3447488,349.72863991808845
Samuel Douglas,"Gg. Rajawali Barat No. 899
Medan, Kalimantan Tengah 93318",+62 (149) 143-8014,3863411735209688,93318,17,19,"Maluku, 03-03-1964",59,Menikah,perempuan,Bogor,Punya,C0167,-6.5962986:106.7972421,432.80794927317766
Elizabeth Fox,"Gg. Tebet Barat Dalam No. 7
Binjai, MU 72712",+62 (041) 553 2356,4430014220122993,72712,17,7,"Jawa Timur, 24-12-1998",25,Menikah,laki-laki,Manado,Punya,C0168,1.4900578:124.8408708,471.9498605301196
Emma Thomas DDS,"Gg. Waringin No. 4
Palembang, JK 74306",+62-004-194-9527,6197423212556688,74306,1,11,"Kalimantan Selatan, 12-02-1992",31,Belum menikah,perempuan,Tangerang,Punya,C0169,-6.1761924:106.6382161,480.7122974267113
Jacqueline Henson,"Gg. Gedebage Selatan No. 27
Meulaboh, Papua Barat 80408",+62-224-455-6454,9999069226932280,80408,1,1,"Sumatera Utara, 19-10-1982",41,Belum menikah,laki-laki,Pontianak,Punya,C0170,-0.0226903:109.3447488,42.29323425536859
Jonathan Howard,"Jalan Kendalsari No. 581
Binjai, Banten 74036",+62 (98) 348-3535,6457894918865236,74036,13,4,"Jambi, 12-06-1983",40,Cerai hidup,laki-laki,Bekasi,Tidak Punya,C0171,-6.2349858:106.9945444,507.480437611317
Sarah May,"Gg. K.H. Wahid Hasyim No. 2
Padang, KB 30176",+62 (0271) 663 6040,4768621069723807,30176,7,9,"Nusa Tenggara Barat, 14-03-1971",52,Cerai mati,laki-laki,Balikpapan,Tidak Punya,C0172,-1.2398711:116.8593379,289.1293562705978
Jacqueline Rose,"Jalan Rajawali Timur No. 11
Metro, MA 90759",+62-04-048-9081,2182668453856316,90759,17,4,"Kepulauan Bangka Belitung, 30-01-1987",36,Cerai mati,perempuan,Balikpapan,Punya,C0173,-1.2398711:116.8593379,530.059754518792
Stacey Morrow,"Gg. Cikutra Barat No. 570
Tasikmalaya, Kalimantan Selatan 49438",+62 (062) 140 3301,5921256880926301,49438,11,8,"Bali, 28-08-1963",60,Menikah,laki-laki,Bandung,Punya,C0174,-6.9215529:107.6110212,504.7185297104297
Louis Porter,"Gg. BKR No. 16
Bandar Lampung, Kalimantan Utara 73014",+62 (29) 908-2240,5564804908869279,73014,17,14,"Lampung, 15-06-1960",63,Menikah,laki-laki,Pekanbaru,Punya,C0175,0.5262455:101.4515727,330.4792325986491
Kathleen Davis,"Jalan H.J Maemunah No. 8
Dumai, KT 74934",+62 (026) 863 2002,3071031858976271,74934,10,9,"Aceh, 29-05-1998",25,Menikah,laki-laki,Bekasi,Punya,C0176,-6.2349858:106.9945444,387.60408071256825
Margaret Henry,"Jl. Wonoayu No. 38
Palu, Kepulauan Bangka Belitung 87966",+62-102-832-7932,8554823497754611,87966,19,10,"Kepulauan Bangka Belitung, 30-07-1993",30,Belum menikah,perempuan,Semarang,Punya,C0177,-6.9903988:110.4229104,448.6748135048547
Michele Navarro,"Jl. Ciumbuleuit No. 028
Dumai, MA 24232",+62 (354) 467 5625,2794455907727453,24232,6,14,"Papua, 15-02-1961",62,Menikah,laki-laki,Makassar,Punya,C0178,-5.1342962:119.4124282,561.2920190753648
Joel Andrade,"Jalan Pasirkoja No. 6
Dumai, Papua 66746",+62 (056) 606-5002,4795572383293595,66746,14,3,"Nusa Tenggara Barat, 16-04-1970",53,Belum menikah,laki-laki,Surabaya,Punya,C0179,-7.2459717:112.7378266,412.1359855257906
Sarah Long,"Gg. Ahmad Yani No. 0
Cimahi, JB 01045",+62 (0600) 448-3464,2229641792807011,1045,2,8,"Sulawesi Selatan, 13-12-1975",48,Menikah,laki-laki,Pekanbaru,Punya,C0180,0.5262455:101.4515727,408.6868701669737
Chad Wright,"Gg. Siliwangi No. 25
Batam, Gorontalo 68492",+62-25-356-6123,9421735375687639,68492,2,17,"Jambi, 19-06-1971",52,Menikah,perempuan,Depok,Punya,C0181,-6.40719:106.8158371,609.7021052879281
Todd Mendez,"Gang Tebet Barat Dalam No. 598
Langsa, YO 80846",+62-023-776-2878,7343030210707655,80846,17,1,"Gorontalo, 01-06-1978",45,Cerai hidup,laki-laki,Surabaya,Tidak Punya,C0182,-7.2459717:112.7378266,145.11856048420304
Stephen Stokes,"Jalan Kapten Muslihat No. 006
Tual, Papua Barat 95415",+62 (307) 294-4505,4505512388355857,95415,12,17,"Jawa Timur, 11-04-1972",51,Belum menikah,perempuan,Depok,Punya,C0183,-6.40719:106.8158371,492.9180500333314
Sydney Nelson,"Jalan Erlangga No. 1
Batam, Riau 20042",+62 (0566) 415 3340,2595971559284300,20042,13,7,"Jawa Barat, 07-11-1993",30,Cerai mati,laki-laki,Jakarta,Punya,C0184,-6.175247:106.8270488,298.7729946176114
Andrew Hamilton MD,"Gang Surapati No. 436
Padang, RI 83359",+62 (092) 471 0735,5407309847179264,83359,14,4,"Bali, 17-12-1973",50,Menikah,perempuan,Makassar,Punya,C0185,-5.1342962:119.4124282,333.28997385996627
Richard Charles,"Gg. Pasteur No. 47
Magelang, Sulawesi Utara 04739",+62 (34) 553 0536,8769465777326167,4739,5,19,"Sulawesi Selatan, 01-07-1964",59,Cerai hidup,laki-laki,Depok,Punya,C0186,-6.40719:106.8158371,498.38611691622646
Charles Hall,"Jl. Merdeka No. 72
Sukabumi, Sulawesi Barat 66651",+62 (0482) 493-9846,2593416490732441,66651,20,17,"Sulawesi Utara, 10-02-1985",38,Cerai hidup,laki-laki,Depok,Tidak Punya,C0187,-6.40719:106.8158371,410.7600338892953
Edwin Perry,"Gg. Cihampelas No. 019
Pekalongan, Nusa Tenggara Timur 49853",+62 (061) 509-3436,8428638305917461,49853,9,12,"Sulawesi Selatan, 26-09-1998",25,Belum menikah,laki-laki,Malang,Punya,C0188,-7.9771206:112.6340291,711.9565438659629
Jordan Reid,"Jl. Moch. Ramdan No. 76
Salatiga, Sumatera Barat 26269",+62 (0041) 444 3385,7930127484100785,26269,16,1,"Kalimantan Tengah, 11-02-1985",38,Menikah,perempuan,Balikpapan,Punya,C0189,-1.2398711:116.8593379,461.5291368043109
Mary Duran,"Jl. Medokan Ayu No. 459
Sungai Penuh, Bali 32797",+62 (0826) 444 4121,4855914522548241,32797,11,13,"Kalimantan Timur, 12-10-1979",44,Menikah,laki-laki,Medan,Punya,C0190,3.5896654:98.6738261,550.8964186027879
Ethan Fuller,"Gang Gegerkalong Hilir No. 2
Kupang, Riau 18581",+62-069-695-1840,9745790829528639,18581,9,20,"Banten, 28-03-1991",32,Menikah,perempuan,Palembang,Punya,C0191,-2.9888243:104.7568507,461.2502425692219
Vickie Reid,"Jalan R.E Martadinata No. 660
Prabumulih, NT 14023",+62-017-696-6904,2680222044677999,14023,6,10,"Aceh, 12-06-1966",57,Cerai mati,perempuan,Semarang,Punya,C0192,-6.9903988:110.4229104,614.9945571223798
Elizabeth Sullivan,"Jl. Dr. Djunjunan No. 959
Kendari, Jawa Timur 02141",+62 (0996) 408 8760,2135936008075826,2141,4,13,"Gorontalo, 31-03-1983",40,Cerai mati,laki-laki,Malang,Tidak Punya,C0193,-7.9771206:112.6340291,387.5696048833779
Dale Alexander,"Jalan Monginsidi No. 84
Kota Administrasi Jakarta Timur, JK 35777",+62 (38) 128-8847,1555119870221233,35777,20,7,"Sulawesi Selatan, 15-02-1968",55,Cerai hidup,perempuan,Palembang,Tidak Punya,C0194,-2.9888243:104.7568507,450.5919090063544
Mrs. Bianca Houston,"Jalan Dipenogoro No. 833
Batam, NT 39873",+62 (0086) 392-0127,1776956716109395,39873,3,15,"Riau, 28-12-1988",35,Menikah,laki-laki,Semarang,Punya,C0195,-6.9903988:110.4229104,703.8245217127551
Steven Brennan,"Jalan Kiaracondong No. 41
Bandar Lampung, Sumatera Utara 06913",+62 (0471) 311-2115,6271563141009027,6913,14,6,"Papua Barat, 16-04-1979",44,Menikah,laki-laki,Batam,Punya,C0196,1.1030815:104.0383696,655.3746668517124
Sharon Hart,"Jalan Jend. A. Yani No. 6
Bitung, Jawa Barat 62253",+62-054-620-6477,3980394397014507,62253,14,13,"Kepulauan Riau, 07-02-1960",63,Belum menikah,perempuan,Bogor,Punya,C0197,-6.5962986:106.7972421,325.91441130274325
